Month,Place_Type,Climate,Trip_Duration_Days,Companions,Interest,Budget_Thousand_INR
December,Religious,Moderate,5,Solo,Adventure,14.49
December,Beach,Hot,2,o,Relaxation,19.59
July,Religious,Moderate,1,o,Food,7.66
April,Hill Station,Cold,14,o,Relaxation,15.96
April,Wildlife,Moderate,14,o,Food,17.84
October,Historical,Hot,5,o,Shopping,15.03
June,Hill Station,Moderate,5,o,Shopping,13.59
February,Beach,Hot,2,o,Culture,21.63
June,Historical,Hot,5,o,Culture,10.29
February,Hill Station,Cold,7,o,Food,12.23
June,Hill Station,Cold,4,o,Food,17.45
November,Religious,Moderate,4,o,Adventure,6.43
February,City,Moderate,7,o,Relaxation,11.72
March,City,Moderate,6,o,Culture,10.77
December,City,Moderate,2,o,Culture,10.89
December,Wildlife,Hot,4,o,Food,10.58
May,Beach,Hot,14,o,Shopping,27.68
April,Beach,Hot,1,o,Adventure,21.18
February,City,Moderate,4,o,Culture,9.55
November,Wildlife,Moderate,10,o,Relaxation,18.13
May,Historical,Hot,3,o,Relaxation,10.2
July,Beach,Hot,7,o,Food,22.84
September,City,Moderate,10,o,Relaxation,11.19
March,Hill Station,Cold,3,o,Adventure,20.56
February,Religious,Moderate,7,o,Food,9.4
May,Historical,Hot,14,o,Food,11.98
May,Hill Station,Moderate,6,o,Food,17.47
March,Hill Station,Cold,10,o,Shopping,11.34
March,Hill Station,Cold,14,o,Food,11.02
October,Hill Station,Moderate,4,o,Food,15.59
September,Beach,Hot,14,o,Relaxation,22.22
January,Hill Station,Cold,2,o,Shopping,15.51
January,City,Moderate,4,o,Relaxation,9.97
December,Wildlife,Moderate,10,o,Adventure,12.25
November,Hill Station,Moderate,10,o,Relaxation,10.96
September,Wildlife,Hot,7,o,Culture,14.36
July,Beach,Hot,6,o,Culture,21.75
April,Historical,Hot,4,o,Adventure,14.66
October,Hill Station,Moderate,14,o,Adventure,12.48
February,Beach,Moderate,1,o,Adventure,19.07
June,Beach,Hot,2,o,Adventure,18.56
November,Wildlife,Moderate,10,o,Culture,16.44
October,Beach,Hot,10,o,Food,22.44
April,Beach,Moderate,2,o,Shopping,24.07
July,Hill Station,Cold,7,o,Culture,16.08
January,Historical,Hot,7,o,Adventure,10.06
April,Religious,Moderate,4,o,Adventure,12.08
July,Beach,Hot,3,o,Relaxation,24.61
February,City,Moderate,10,o,Relaxation,23.12
November,Wildlife,Hot,14,o,Adventure,14.24
March,Hill Station,Cold,7,o,Relaxation,10.74
July,Historical,Hot,1,o,Relaxation,15.13
July,Beach,Hot,5,o,Adventure,19.34
December,Historical,Hot,14,o,Shopping,13.07
April,Religious,Moderate,5,o,Relaxation,15.43
