place_id,place_name,state,latitude,longitude,place_type,month,climate,popularity_level,accessibility,budget_thousand_inr,trip_duration_days,companions,interest,safety_index,entry_fee,user_id,session_id,rating_given,review_text,travel_dates_start,travel_dates_end,device_type,engagement_score,mobility_restrictions,language_preference
1,Udaipur,Rajasthan,24.530376551083606,73.76404330724505,Heritage,Sep,Arid,4.1,Easy,43,10,Family,Nature,1.6,20,3445,275203,1.6,Had a wonderful time.,2025-05-11,2025-05-21,desktop,53,None,Other
2,Manali,Himachal Pradesh,32.262909523905975,77.20049946123434,Hill Station,Apr,Arid,1.0,Easy,37,12,Couple,Adventure,3.4,100,4844,586232,2.2,Had a wonderful time.,2025-02-28,2025-03-12,mobile,42,Kids,Hindi
3,Jaipur,Rajasthan,26.92664646023867,75.78383478157724,Historical,Nov,Cold,2.9,Easy,11,5,Family,Food,2.8,10,2436,370936,4.9,Had a wonderful time.,2025-08-30,2025-09-04,desktop,9,Kids,Other
4,Mysore,Karnataka,12.324903400126217,76.57584402597253,Heritage,Feb,Humid,2.8,Hard,48,13,Solo,Adventure,4.3,20,3153,560337,3.7,Had a wonderful time.,2025-01-02,2025-01-15,desktop,6,Kids,English
5,Rishikesh,Uttarakhand,29.95408139511016,78.28728612358691,Spiritual,Mar,Tropical,4.9,Moderate,48,2,Couple,Food,2.6,50,4912,635822,1.4,Amazing place!,2025-08-03,2025-08-05,desktop,62,Kids,Hindi
6,Darjeeling,West Bengal,27.083319324946004,88.3286190598429,Hill Station,Aug,Temperate,3.2,Moderate,29,12,Solo,Adventure,3.4,100,2063,476896,1.1,Great for families.,2025-01-09,2025-01-21,desktop,1,None,Other
7,Darjeeling,West Bengal,27.139099952249598,88.35582801191161,Hill Station,May,Tropical,4.1,Easy,46,7,Friends,Spiritual,3.6,50,201,130535,2.8,Not worth the price.,2025-02-02,2025-02-09,desktop,23,Kids,Other
8,Darjeeling,West Bengal,27.13100053955072,88.43535164685753,Hill Station,May,Arid,2.1,Hard,5,3,Family,Food,1.5,150,2691,284064,3.9,Had a wonderful time.,2025-09-12,2025-09-15,desktop,27,Kids,Hindi
9,Varanasi,Uttar Pradesh,25.25611242405827,83.00718924404889,Spiritual,Jun,Humid,2.8,Hard,36,7,Friends,Nature,2.9,100,4192,974371,4.6,Not worth the price.,2025-08-19,2025-08-26,mobile,15,Wheelchair,Hindi
10,Kerala,Kerala,10.864075382947648,76.3319089662001,Backwater,Sep,Arid,3.8,Moderate,46,13,Couple,Spiritual,2.2,100,2694,981691,1.9,Could be better.,2025-12-06,2025-12-19,desktop,62,None,Hindi
11,Mysore,Karnataka,12.2630374816722,76.55324019457517,Heritage,Oct,Arid,4.6,Easy,31,14,Family,Nature,1.0,100,1283,599046,1.7,Amazing place!,2025-05-17,2025-05-31,desktop,37,Wheelchair,Hindi
12,Goa,Goa,15.265028548347324,74.04377227307783,Beach,Dec,Tropical,4.8,Moderate,36,8,Family,Adventure,3.8,0,1854,539792,2.0,Could be better.,2025-09-25,2025-10-03,desktop,39,Kids,Hindi
13,Manali,Himachal Pradesh,32.163767287948176,77.23444156487191,Hill Station,Nov,Temperate,5.0,Hard,6,2,Friends,Spiritual,2.6,100,3475,277789,1.6,Had a wonderful time.,2025-06-21,2025-06-23,desktop,32,Kids,Hindi
14,Rishikesh,Uttarakhand,30.163629683870642,78.15262074225056,Spiritual,May,Tropical,4.0,Hard,21,6,Family,Relaxation,2.5,50,198,713333,3.1,Great for families.,2025-08-28,2025-09-03,desktop,97,Wheelchair,English
15,Varanasi,Uttar Pradesh,25.21854636748693,82.91727022703972,Spiritual,Apr,Tropical,1.2,Hard,40,3,Couple,Food,3.8,20,3220,758271,1.4,Amazing place!,2025-05-08,2025-05-11,mobile,82,Kids,Other
16,Darjeeling,West Bengal,26.99717356010234,88.17414876261711,Hill Station,Apr,Cold,1.5,Hard,35,14,Friends,Adventure,3.8,50,624,207512,3.1,Had a wonderful time.,2025-01-02,2025-01-16,mobile,48,None,Hindi
17,Leh,Ladakh,34.178588279424844,77.65518228717772,Adventure,Jul,Cold,2.4,Hard,23,3,Couple,Spiritual,4.4,150,3192,421184,3.6,Great for families.,2025-03-16,2025-03-19,mobile,72,Kids,Hindi
18,Kerala,Kerala,10.873128826949888,76.35584014325767,Backwater,Dec,Temperate,1.0,Moderate,29,3,Couple,Relaxation,4.9,10,4974,743409,2.9,Great for families.,2025-06-12,2025-06-15,desktop,61,Kids,Other
19,Varanasi,Uttar Pradesh,25.18459259344852,82.97137123744288,Spiritual,Mar,Temperate,2.5,Hard,7,1,Family,Relaxation,2.2,50,955,271890,3.5,Amazing place!,2025-01-22,2025-01-23,desktop,30,Kids,Hindi
20,Rishikesh,Uttarakhand,30.085755655253028,78.30893540876237,Spiritual,Nov,Humid,4.6,Hard,38,5,Family,Spiritual,3.0,50,960,760960,1.8,Not worth the price.,2025-11-13,2025-11-18,desktop,19,Wheelchair,Other
21,Kerala,Kerala,10.854698006447002,76.25737281829022,Backwater,Feb,Humid,1.7,Moderate,33,14,Solo,Culture,4.7,20,1061,511927,2.3,Great for families.,2025-10-29,2025-11-12,mobile,95,Kids,Hindi
22,Jaipur,Rajasthan,26.817448095482117,75.72761026684373,Historical,Sep,Arid,2.1,Hard,22,9,Couple,Food,2.6,150,570,465890,3.3,Amazing place!,2025-10-07,2025-10-16,desktop,32,None,Other
23,Rishikesh,Uttarakhand,29.95633024459589,78.19252381569324,Spiritual,Sep,Cold,2.2,Moderate,21,8,Family,Culture,3.8,20,4342,598863,3.2,Could be better.,2025-06-19,2025-06-27,mobile,26,Kids,Hindi
24,Jaipur,Rajasthan,26.9780797331164,75.6437099180626,Historical,May,Humid,1.3,Hard,40,13,Couple,Food,1.8,150,4496,584299,4.5,Not worth the price.,2025-05-23,2025-06-05,desktop,98,Kids,Hindi
25,Manali,Himachal Pradesh,32.42855476561266,77.12111952657786,Hill Station,Dec,Humid,2.3,Moderate,26,10,Solo,Relaxation,4.4,0,1716,170313,4.3,Great for families.,2025-02-23,2025-03-05,mobile,60,None,Other
26,Leh,Ladakh,34.308638014113285,77.5898551000071,Adventure,Apr,Cold,1.9,Easy,43,4,Couple,Relaxation,4.4,50,4143,311810,3.5,Not worth the price.,2025-11-04,2025-11-08,desktop,13,Kids,Other
27,Manali,Himachal Pradesh,32.037085741334245,77.20734543147694,Hill Station,Sep,Tropical,4.2,Hard,23,12,Friends,Adventure,4.0,10,741,132217,4.9,Could be better.,2025-10-06,2025-10-18,mobile,9,None,Other
28,Leh,Ladakh,33.99771713201759,77.54268709358959,Adventure,Dec,Temperate,1.4,Easy,44,13,Couple,Culture,2.1,100,4071,653663,3.2,Had a wonderful time.,2025-10-05,2025-10-18,mobile,67,None,Other
29,Mysore,Karnataka,12.422491114918662,76.56863305343812,Heritage,May,Cold,1.1,Moderate,32,5,Couple,Spiritual,1.4,150,3060,260196,2.9,Not worth the price.,2025-08-06,2025-08-11,desktop,48,Wheelchair,Hindi
30,Leh,Ladakh,34.02310575255201,77.56648814952536,Adventure,May,Tropical,2.7,Hard,14,6,Family,Culture,3.5,10,3252,533374,1.1,Great for families.,2025-05-27,2025-06-02,desktop,96,Wheelchair,Other
31,Goa,Goa,15.492654262942999,74.16538748372507,Beach,May,Cold,3.5,Hard,6,1,Solo,Adventure,4.5,20,852,249143,3.7,Could be better.,2025-06-12,2025-06-13,desktop,33,None,English
32,Goa,Goa,15.347421772842813,74.17070571727288,Beach,Jan,Temperate,3.5,Easy,37,8,Family,Adventure,4.6,50,4381,208940,1.9,Great for families.,2025-10-29,2025-11-06,desktop,35,Kids,English
33,Udaipur,Rajasthan,24.564587774964274,73.66319990653412,Heritage,Feb,Tropical,4.4,Moderate,38,3,Solo,Nature,2.1,50,826,976020,2.4,Not worth the price.,2025-03-16,2025-03-19,mobile,36,Kids,Hindi
34,Varanasi,Uttar Pradesh,25.254629914273487,83.06157546499523,Spiritual,Sep,Temperate,1.7,Easy,28,3,Friends,Adventure,5.0,50,2144,844086,4.7,Great for families.,2025-02-06,2025-02-09,desktop,55,Wheelchair,Hindi
35,Udaipur,Rajasthan,24.54460846472287,73.73866230559726,Heritage,Aug,Tropical,4.6,Moderate,24,9,Solo,Nature,2.3,20,396,295004,4.6,Amazing place!,2025-03-17,2025-03-26,mobile,71,Kids,Other
36,Kerala,Kerala,11.041731763983996,76.37762270825469,Backwater,Jan,Tropical,2.8,Hard,16,9,Couple,Culture,3.2,100,3637,422710,4.1,Had a wonderful time.,2025-02-08,2025-02-17,mobile,53,Kids,Hindi
37,Mysore,Karnataka,12.47716665758789,76.67985828951174,Heritage,Jul,Humid,4.9,Easy,14,10,Solo,Nature,3.5,100,3302,625830,2.7,Amazing place!,2025-06-17,2025-06-27,desktop,9,None,Other
38,Manali,Himachal Pradesh,32.081434607438545,77.1966009014244,Hill Station,Jan,Tropical,3.3,Easy,5,6,Family,Food,4.3,0,1325,977699,2.4,Could be better.,2025-09-09,2025-09-15,mobile,19,Kids,English
39,Rishikesh,Uttarakhand,29.984965853275995,78.35079581865746,Spiritual,Dec,Humid,2.3,Moderate,7,13,Family,Spiritual,1.0,50,3710,748249,4.0,Amazing place!,2025-11-13,2025-11-26,mobile,39,Kids,English
40,Goa,Goa,15.188877821145287,74.20015718412975,Beach,Nov,Temperate,2.6,Easy,29,8,Couple,Adventure,3.1,100,134,560857,1.0,Not worth the price.,2025-06-09,2025-06-17,mobile,61,Wheelchair,Other
41,Leh,Ladakh,34.13579292107945,77.60551753246496,Adventure,Nov,Cold,3.8,Easy,22,9,Friends,Nature,1.9,0,1397,734421,3.3,Had a wonderful time.,2025-05-24,2025-06-02,mobile,57,None,Hindi
42,Mysore,Karnataka,12.514780293321767,76.55857017146448,Heritage,Jun,Tropical,2.1,Moderate,12,10,Solo,Relaxation,1.9,50,2780,227016,2.0,Could be better.,2025-05-25,2025-06-04,mobile,33,None,English
43,Leh,Ladakh,34.20973475103268,77.67405238200132,Adventure,Oct,Humid,1.7,Moderate,39,13,Family,Relaxation,4.8,20,256,563556,3.5,Could be better.,2025-01-10,2025-01-23,desktop,30,None,Other
44,Manali,Himachal Pradesh,32.11642692324902,77.20765849201605,Hill Station,Jan,Cold,2.6,Moderate,5,2,Family,Relaxation,4.9,0,4949,385977,2.5,Amazing place!,2025-12-08,2025-12-10,mobile,27,None,Hindi
